"","year","month","anom","dec.yr"
"12/15/12",2012,12,-0.790723033067657,2012.95833333333
"01/15/13",2013,1,-0.365132148995955,2013.04166666667
"02/15/13",2013,2,-0.0584770754423891,2013.125
"03/15/13",2013,3,-0.138975149247704,2013.20833333333
"04/15/13",2013,4,-0.378642451149338,2013.29166666667
"05/15/13",2013,5,-0.968747330228811,2013.375
"06/15/13",2013,6,-0.210357352000911,2013.45833333333
"07/15/13",2013,7,0.245085716247559,2013.54166666667
"08/15/13",2013,8,0.345540447286797,2013.625
"09/15/13",2013,9,-0.0685003637298334,2013.70833333333
"10/15/13",2013,10,-0.453383028345702,2013.79166666667
"11/15/13",2013,11,0.215286996629503,2013.875
"12/15/13",2013,12,0.156722783396238,2013.95833333333
"01/15/14",2014,1,0.356158253946279,2014.04166666667
"02/15/14",2014,2,0.325484549126974,2014.125
"03/15/14",2014,3,0.392959165056224,2014.20833333333
"04/15/14",2014,4,0.572817539458029,2014.29166666667
"05/15/14",2014,5,1.07361045891676,2014.375
"06/15/14",2014,6,0.945831771788558,2014.45833333333
"07/15/14",2014,7,1.60768540700277,2014.54166666667
"08/15/14",2014,8,1.60404287767281,2014.625
"09/15/14",2014,9,1.45461013194345,2014.70833333333
"10/15/14",2014,10,0.934266613750923,2014.79166666667
"11/15/14",2014,11,0.726948261260986,2014.875
"12/15/14",2014,12,1.15479561953041,2014.95833333333
"01/15/15",2015,1,1.20505613492433,2015.04166666667
"02/15/15",2015,2,1.13220003756081,2015.125
"03/15/15",2015,3,1.33578204527134,2015.20833333333
"04/15/15",2015,4,1.29900646403553,2015.29166666667
"05/15/15",2015,5,1.06798600569004,2015.375
"06/15/15",2015,6,1.2009238628191,2015.45833333333
"07/15/15",2015,7,0.653514438205295,2015.54166666667
"08/15/15",2015,8,0.486330856798787,2015.625
"09/15/15",2015,9,0.0754489330095329,2015.70833333333
"10/15/15",2015,10,0.554354237347114,2015.79166666667
"11/15/15",2015,11,0.476698133680556,2015.875
"12/15/15",2015,12,0.621733055528263,2015.95833333333
"01/15/16",2016,1,1.10341675817805,2016.04166666667
"02/15/16",2016,2,1.2963500636703,2016.125
"03/15/16",2016,3,1.45648590142165,2016.20833333333
"04/15/16",2016,4,1.74451155326554,2016.29166666667
"05/15/16",2016,5,1.70535563841099,2016.375
"06/15/16",2016,6,1.89579957998219,2016.45833333333
"07/15/16",2016,7,1.73584493001302,2016.54166666667
"08/15/16",2016,8,1.33427458662328,2016.625
"09/15/16",2016,9,1.71222776449147,2016.70833333333
"10/15/16",2016,10,1.4709096420102,2016.79166666667
"11/15/16",2016,11,1.60766824086507,2016.875
"12/15/16",2016,12,0.975520583672252,2016.95833333333
"01/15/17",2017,1,0.846673062177209,2017.04166666667
"02/15/17",2017,2,0.579045886915874,2017.125
"03/15/17",2017,3,-0.0390577639344584,2017.20833333333
"04/15/17",2017,4,0.240997819719599,2017.29166666667
"05/15/17",2017,5,0.157554037848785,2017.375
"06/15/17",2017,6,0.643631772297185,2017.45833333333
"07/15/17",2017,7,0.772611724005805,2017.54166666667
"08/15/17",2017,8,0.901915103116333,2017.625
"09/15/17",2017,9,-0.123481701383099,2017.70833333333
"10/15/17",2017,10,0.293892642023764,2017.79166666667
"11/15/17",2017,11,0.147442128923204,2017.875
"12/15/17",2017,12,0.0160650935599474,2017.95833333333
"01/15/18",2018,1,0.395831370418311,2018.04166666667
"02/15/18",2018,2,0.449305410307597,2018.125
"03/15/18",2018,3,0.390320401204634,2018.20833333333
"04/15/18",2018,4,0.518537072954462,2018.29166666667
"05/15/18",2018,5,0.231797212507667,2018.375
"06/15/18",2018,6,0.470646483465262,2018.45833333333
"07/15/18",2018,7,0.260627110799154,2018.54166666667
"08/15/18",2018,8,0.0297216606657032,2018.625
"09/15/18",2018,9,1.1462699533478,2018.70833333333
