"","year","month","anom","dec.yr"
"05/15/16",2016,5,1.66084271007114,2016.375
"06/15/16",2016,6,1.84578014555432,2016.45833333333
"07/15/16",2016,7,1.68264043141925,2016.54166666667
"08/15/16",2016,8,1.30496451715944,2016.625
"09/15/16",2016,9,1.65161905843745,2016.70833333333
"10/15/16",2016,10,1.46578692380713,2016.79166666667
"11/15/16",2016,11,1.60026845477876,2016.875
"12/15/16",2016,12,0.970263135496271,2016.95833333333
"01/15/17",2017,1,0.800851109797362,2017.04166666667
"02/15/17",2017,2,0.538776062783741,2017.125
"03/15/17",2017,3,-0.0724922954720794,2017.20833333333
"04/15/17",2017,4,0.209784900069867,2017.29166666667
"05/15/17",2017,5,0.130340761608548,2017.375
"06/15/17",2017,6,0.618388372754294,2017.45833333333
"07/15/17",2017,7,0.746021838415237,2017.54166666667
"08/15/17",2017,8,0.875325760513386,2017.625
"09/15/17",2017,9,-0.148615206360186,2017.70833333333
"10/15/17",2017,10,0.290840350761615,2017.79166666667
"11/15/17",2017,11,0.130427610306513,2017.875
"12/15/17",2017,12,-0.00224169221504668,2017.95833333333
"01/15/18",2018,1,0.386672897313638,2018.04166666667
"02/15/18",2018,2,0.437830854975988,2018.125
"03/15/18",2018,3,0.37665673033901,2018.20833333333
"04/15/18",2018,4,0.507160367158355,2018.29166666667
"05/15/18",2018,5,0.226783937878079,2018.375
"06/15/18",2018,6,0.463793103657072,2018.45833333333
"07/15/18",2018,7,0.25883392303709,2018.54166666667
"08/15/18",2018,8,0.0228803700240198,2018.625
"09/15/18",2018,9,1.14551893365446,2018.70833333333
"10/15/18",2018,10,1.83082664328277,2018.79166666667
"11/15/18",2018,11,1.60753110855345,2018.875
"12/15/18",2018,12,1.15837873226751,2018.95833333333
"01/15/19",2019,1,0.758440471200085,2019.04166666667
"02/15/19",2019,2,1.22312872561197,2019.125
"03/15/19",2019,3,1.42048995961588,2019.20833333333
"04/15/19",2019,4,1.4664199566715,2019.29166666667
"05/15/19",2019,5,1.36826385392083,2019.375
"06/15/19",2019,6,1.63672085413857,2019.45833333333
"07/15/19",2019,7,2.06029090427217,2019.54166666667
"08/15/19",2019,8,2.1713406522438,2019.625
"09/15/19",2019,9,2.06982484948698,2019.70833333333
"10/15/19",2019,10,1.16430302776357,2019.79166666667
"11/15/19",2019,11,1.74575380295042,2019.875
"12/15/19",2019,12,1.38540259870903,2019.95833333333
"01/15/20",2020,1,0.320974167692598,2020.04166666667
"02/15/20",2020,2,0.0838317170975701,2020.125
"03/15/20",2020,3,-0.13931145996013,2020.20833333333
"04/15/20",2020,4,0.189894936072133,2020.29166666667
"05/15/20",2020,5,0.874767541885376,2020.375
"06/15/20",2020,6,1.19069320436508,2020.45833333333
"07/15/20",2020,7,0.811081924135723,2020.54166666667
"08/15/20",2020,8,1.0103602157068,2020.625
"09/15/20",2020,9,0.822120555494197,2020.70833333333
"10/15/20",2020,10,0.745290004387104,2020.79166666667
"11/15/20",2020,11,0.368273084125821,2020.875
"12/15/20",2020,12,0.387409553325996,2020.95833333333
"01/15/21",2021,1,0.352851791356607,2021.04166666667
"02/15/21",2021,2,0.266062851936098,2021.125
"03/15/21",2021,3,0.177505134905457,2021.20833333333
"04/15/21",2021,4,0.11231988826126,2021.29166666667
"05/15/21",2021,5,-0.0338157812754313,2021.375
"06/15/21",2021,6,0.0596993083045598,2021.45833333333
"07/15/21",2021,7,0.0279115419539193,2021.54166666667
"08/15/21",2021,8,0.0834481198951678,2021.625
